DOCUMENT: 타법인 출자현황.html
SECTION: 3. 타법인출자 현황(상세)
TABLE: 3. 타법인출자 현황(상세)
META: ☞ 본문 위치로 이동

TABLE: 표
META: (기준일 : | 2025년 12월 31일 | ) | (단위 : 백만원, 천주, %)

TABLE: 표
HEADER: 법인명 | 상장 여부 | 최초취득일자 | 출자 목적 | 최초취득금액 | 기초잔액 / 수량 | 기초잔액 / 지분율 | 기초잔액 / 장부 가액 | 증가(감소) / 취득(처분) / 수량 | 증가(감소) / 취득(처분) / 금액 | 증가(감소) / 평가 손익 | 기말잔액 / 수량 | 기말잔액 / 지분율 | 기말잔액 / 장부 가액 | 최근사업연도 재무현황 / 총자산 | 최근사업연도 재무현황 / 당기 순손익
ROW: 법인명=삼성전기㈜ | 상장 여부=상장 | 최초취득일자=1977.01.01 | 출자 목적=경영참여 | 최초취득금액=250 | 기초잔액 / 수량=17,693 | 기초잔액 / 지분율=23.7 | 기초잔액 / 장부 가액=445,244 | 증가(감소) / 취득(처분) / 수량=- | 증가(감소) / 취득(처분) / 금액=- | 증가(감소) / 평가 손익=- | 기말잔액 / 수량=17,693 | 기말잔액 / 지분율=23.7 | 기말잔액 / 장부 가액=445,244 | 최근사업연도 재무현황 / 총자산=14,594,779 | 최근사업연도 재무현황 / 당기 순손익=730,990
ROW: 법인명=삼성SDI㈜ | 상장 여부=상장 | 최초취득일자=1977.01.01 | 출자 목적=경영참여 | 최초취득금액=304 | 기초잔액 / 수량=13,463 | 기초잔액 / 지분율=19.6 | 기초잔액 / 장부 가액=1,242,605 | 증가(감소) / 취득(처분) / 수량=2,201 | 증가(감소) / 취득(처분) / 금액=371,799 | 증가(감소) / 평가 손익=- | 기말잔액 / 수량=15,664 | 기말잔액 / 지분율=19.4 | 기말잔액 / 장부 가액=1,614,404 | 최근사업연도 재무현황 / 총자산=42,105,029 | 최근사업연도 재무현황 / 당기 순손익=-554,933
ROW: 법인명=삼성중공업㈜ | 상장 여부=상장 | 최초취득일자=1977.09.01 | 출자 목적=경영참여 | 최초취득금액=125 | 기초잔액 / 수량=134,027 | 기초잔액 / 지분율=15.2 | 기초잔액 / 장부 가액=1,514,508 | 증가(감소) / 취득(처분) / 수량=- | 증가(감소) / 취득(처분) / 금액=- | 증가(감소) / 평가 손익=1,715,549 | 기말잔액 / 수량=134,027 | 기말잔액 / 지분율=15.2 | 기말잔액 / 장부 가액=3,230,057 | 최근사업연도 재무현황 / 총자산=14,948,900 | 최근사업연도 재무현황 / 당기 순손익=535,800
ROW: 법인명=㈜호텔신라 | 상장 여부=상장 | 최초취득일자=1979.12.01 | 출자 목적=경영참여 | 최초취득금액=252 | 기초잔액 / 수량=2,005 | 기초잔액 / 지분율=5.1 | 기초잔액 / 장부 가액=73,974 | 증가(감소) / 취득(처분) / 수량=- | 증가(감소) / 취득(처분) / 금액=- | 증가(감소) / 평가 손익=15,436 | 기말잔액 / 수량=2,005 | 기말잔액 / 지분율=5.1 | 기말잔액 / 장부 가액=89,410 | 최근사업연도 재무현황 / 총자산=3,541,424 | 최근사업연도 재무현황 / 당기 순손익=-172,849
ROW: 법인명=㈜제일기획 | 상장 여부=상장 | 최초취득일자=1988.09.01 | 출자 목적=경영참여 | 최초취득금액=185 | 기초잔액 / 수량=29,038 | 기초잔액 / 지분율=25.2 | 기초잔액 / 장부 가액=491,599 | 증가(감소) / 취득(처분) / 수량=- | 증가(감소) / 취득(처분) / 금액=- | 증가(감소) / 평가 손익=- | 기말잔액 / 수량=29,038 | 기말잔액 / 지분율=25.2 | 기말잔액 / 장부 가액=491,599 | 최근사업연도 재무현황 / 총자산=3,604,095 | 최근사업연도 재무현황 / 당기 순손익=208,607
ROW: 법인명=삼성에스디에스㈜ | 상장 여부=상장 | 최초취득일자=1992.07.01 | 출자 목적=경영참여 | 최초취득금액=6,160 | 기초잔액 / 수량=17,472 | 기초잔액 / 지분율=22.6 | 기초잔액 / 장부 가액=560,827 | 증가(감소) / 취득(처분) / 수량=- | 증가(감소) / 취득(처분) / 금액=- | 증가(감소) / 평가 손익=- | 기말잔액 / 수량=17,472 | 기말잔액 / 지분율=22.6 | 기말잔액 / 장부 가액=560,827 | 최근사업연도 재무현황 / 총자산=13,453,704 | 최근사업연도 재무현황 / 당기 순손익=782,669
ROW: 법인명=삼성바이오로직스㈜ | 상장 여부=상장 | 최초취득일자=2011.04.21 | 출자 목적=경영참여 | 최초취득금액=30,000 | 기초잔액 / 수량=22,217 | 기초잔액 / 지분율=31.2 | 기초잔액 / 장부 가액=1,595,892 | 증가(감소) / 취득(처분) / 수량=-7,767 | 증가(감소) / 취득(처분) / 금액=-185,788 | 증가(감소) / 평가 손익=- | 기말잔액 / 수량=14,450 | 기말잔액 / 지분율=31.2 | 기말잔액 / 장부 가액=1,410,104 | 최근사업연도 재무현황 / 총자산=11,060,742 | 최근사업연도 재무현황 / 당기 순손익=1,792,237
ROW: 법인명=삼성디스플레이㈜ | 상장 여부=비상장 | 최초취득일자=2012.04.01 | 출자 목적=경영참여 | 최초취득금액=16,009,547 | 기초잔액 / 수량=221,969 | 기초잔액 / 지분율=84.8 | 기초잔액 / 장부 가액=18,509,307 | 증가(감소) / 취득(처분) / 수량=- | 증가(감소) / 취득(처분) / 금액=- | 증가(감소) / 평가 손익=- | 기말잔액 / 수량=221,969 | 기말잔액 / 지분율=84.8 | 기말잔액 / 장부 가액=18,509,307 | 최근사업연도 재무현황 / 총자산=76,710,079 | 최근사업연도 재무현황 / 당기 순손익=5,522,684
ROW: 법인명=삼성에피스홀딩스㈜ | 상장 여부=상장 | 최초취득일자=2025.11.01 | 출자 목적=경영참여 | 최초취득금액=185,788 | 기초잔액 / 수량=- | 기초잔액 / 지분율=- | 기초잔액 / 장부 가액=- | 증가(감소) / 취득(처분) / 수량=7,767 | 증가(감소) / 취득(처분) / 금액=185,788 | 증가(감소) / 평가 손익=- | 기말잔액 / 수량=7,767 | 기말잔액 / 지분율=31.2 | 기말잔액 / 장부 가액=185,788 | 최근사업연도 재무현황 / 총자산=7,709,210 | 최근사업연도 재무현황 / 당기 순손익=8,332
ROW: 법인명=스테코㈜ | 상장 여부=비상장 | 최초취득일자=1995.06.29 | 출자 목적=경영참여 | 최초취득금액=24,000 | 기초잔액 / 수량=2,590 | 기초잔액 / 지분율=70.0 | 기초잔액 / 장부 가액=35,861 | 증가(감소) / 취득(처분) / 수량=- | 증가(감소) / 취득(처분) / 금액=- | 증가(감소) / 평가 손익=- | 기말잔액 / 수량=2,590 | 기말잔액 / 지분율=70.0 | 기말잔액 / 장부 가액=35,861 | 최근사업연도 재무현황 / 총자산=137,168 | 최근사업연도 재무현황 / 당기 순손익=4,324
